id,level_1,level_2,level_3,level_4,level_5
2,Inference Parameters,Context Window,Prompt engineering,,
3,Inference Parameters,Context Window,Prompt engineering,few-shot prompting,
4,Inference Parameters,,,,
5,Inference Parameters,Temperature,,,
6,Inference Parameters,Top P,,,
7,Inference Parameters,Max Tokens,,,
8,Inference Parameters,Context Window,,,
10,Inference Parameters,Context Window,Prompt engineering,chain-of-thought prompting,
11,Inference Parameters,Context Window,Prompt engineering,one-shot prompting,
12,Inference Parameters,Context Window,Prompt engineering,zero-shot prompting,
13,Retrieval augmented generation (RAG),,,,
14,Retrieval augmented generation (RAG),Data Preparation,,,
15,Retrieval augmented generation (RAG),Data Preparation,Data Chunking,,
16,Retrieval augmented generation (RAG),Data Storage,Data Indexing,,
17,Retrieval augmented generation (RAG),Data Retrieval,,,
18,Retrieval augmented generation (RAG),Data Retrieval,Retrieval Augmentation,,
19,Retrieval augmented generation (RAG),Data Retrieval,Chunk selection,,
20,Retrieval augmented generation (RAG),Data Preparation,Tokenisation,,
21,Retrieval augmented generation (RAG),Data Preparation,Embeddings,,
22,Retrieval augmented generation (RAG),Data Storage,Vector Databases,,
23,Retrieval augmented generation (RAG),Data Retrieval,Chunk selection,re-ranking,
24,Retrieval augmented generation (RAG),Data Retrieval,Chunk selection,Fixed Recency,
25,Retrieval augmented generation (RAG),Data Retrieval,Retrieval Augmentation,soft prompt tuning,
26,Fine-tuning,,,,
27,Fine-tuning,Representation fine-tuning (ReFT),,,
91,Fine-tuning,Instruction Tuning,,,
92,Fine-tuning,Parameter-efficient fine-tuning (PEFT),,,
93,Fine-tuning,Parameter-efficient fine-tuning (PEFT),Prompt Tuning,,
94,Fine-tuning,Parameter-efficient fine-tuning (PEFT),Prompt Tuning,soft prompt tuning,
95,Fine-tuning,Parameter-efficient fine-tuning (PEFT),Low-Rank Adaptability (LORA),,
96,Fine-tuning,Parameter-efficient fine-tuning (PEFT),QLORA,,
97,Fine-tuning,Parameter-efficient fine-tuning (PEFT),QLORA,,
98,Fine-tuning,Additional Layers,Adapter Layers,,
99,Fine-tuning,Additional Layers,(Head) Output Layer,,
