level_1,level_2,level_3,level_4,level_5
Model Deployment,,,,
Model Deployment,Computational Efficiency,,,
Model Deployment,Computational Efficiency,Gradient Accumulation,,
Model Deployment,Computational Efficiency,Automatic Mixed Precision,,
Model Deployment,Computational Efficiency,Quantization,,
Model Deployment,Model Optimization,,,
Model Deployment,Model Optimization,Distillation,,
Model Deployment,Model Optimization,Model Cascading,,
Model Deployment,Memory Management,,,
Model Deployment,Memory Management,Gradient Checkpointing,,
Model Deployment,Memory Management,Gradient Accumulation,,
Model Deployment,Precision And Accuracy Management,,,
Model Deployment,Precision And Accuracy Management,Automatic Precision Training,,
Model Deployment,Precision And Accuracy Management,Automatic Mixed Precision,,
Model Deployment,Model Stability And Flexibility,,,
Model Deployment,Model Stability And Flexibility,Gradient Freezing,,
Model Deployment,Computational Efficiency,Quantization,8-Bit Optimizers,
Inference Parameters,Context Window,Prompt Engineering,,
Inference Parameters,Context Window,Prompt Engineering,Few-Shot Prompting,
Inference Parameters,,,,
Inference Parameters,Temperature,,,
Inference Parameters,Top P,,,
Inference Parameters,Max Tokens,,,
Inference Parameters,Context Window,,,
Inference Parameters,Context Window,Prompt Engineering,Chain-Of-Thought Prompting,
Inference Parameters,Context Window,Prompt Engineering,One-Shot Prompting,
Inference Parameters,Context Window,Prompt Engineering,Zero-Shot Prompting,
Retrieval Augmented Generation,,,,
Retrieval Augmented Generation,Data Preparation,,,
Retrieval Augmented Generation,Data Preparation,Data Chunking,,
Retrieval Augmented Generation,Data Storage,Data Indexing,,
Retrieval Augmented Generation,Data Retrieval,,,
Retrieval Augmented Generation,Data Retrieval,Retrieval Augmentation,,
Retrieval Augmented Generation,Data Retrieval,Chunk Selection,,
Retrieval Augmented Generation,Data Preparation,Tokenisation,,
Retrieval Augmented Generation,Data Preparation,Embeddings,,
Retrieval Augmented Generation,Data Storage,Vector Databases,,
Retrieval Augmented Generation,Data Retrieval,Chunk Selection,Re-Ranking,
Retrieval Augmented Generation,Data Retrieval,Chunk Selection,Fixed Recency,
Retrieval Augmented Generation,Data Retrieval,Retrieval Augmentation,Soft Prompt Tuning,
Fine-Tuning,,,,
Fine-Tuning,Representation Fine-Tuning (Reft),,,
Fine-Tuning,Instruction Tuning,,,
Fine-Tuning,Parameter-Efficient Fine-Tuning,,,
Fine-Tuning,Parameter-Efficient Fine-Tuning,Prompt Tuning,,
Fine-Tuning,Parameter-Efficient Fine-Tuning,Prompt Tuning,Soft Prompt Tuning,
Fine-Tuning,Parameter-Efficient Fine-Tuning,Low-Rank Adaptability,,
Fine-Tuning,Parameter-Efficient Fine-Tuning,QLORA,,
Fine-Tuning,Parameter-Efficient Fine-Tuning,QLORA,,
Fine-Tuning,Additional Layers,Adapter Layers,,
Fine-Tuning,Additional Layers,(Head) Output Layer,,
Model Evaluation & Testing,Validation Techniques,,,
Model Evaluation & Testing,Validation Techniques,Cross-Validation,K-Fold,
Model Evaluation & Testing,Validation Techniques,Cross-Validation,Stratified K-Fold,
Model Evaluation & Testing,Validation Techniques,Cross-Validation,Leave-One-Out,
Model Evaluation & Testing,Hyperparameter Selection,,,
Model Evaluation & Testing,Hyperparameter Selection,Grid Search,,
Model Evaluation & Testing,Hyperparameter Selection,Random Search,,
Model Evaluation & Testing,Hyperparameter Selection,Bayesian Optimization,,
Model Evaluation & Testing,Validation Techniques,Holdout Data,,
Model Evaluation & Testing,Evaluation Metrics,,,
Model Evaluation & Testing,Evaluation Metrics,Image Generation Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Image Generation Metrics,Inception Score,
Model Evaluation & Testing,Evaluation Metrics,Image Generation Metrics,Fréchet Inception Distance,
Model Evaluation & Testing,Evaluation Metrics,Image Generation Metrics,Structural Similarity Index,
Model Evaluation & Testing,Evaluation Metrics,Image Generation Metrics,Peak Signal-To-Noise Ratio,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Area Under Pr Curve,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Accuracy,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Precision,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Recall,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,F1 Score,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,AUC-ROC,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Log Loss,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Cohen'S Kappa,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Matthews Correlation Coefficient,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,Mean Squared Error,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,Root Mean Squared Error,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,Mean Absolute Error,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,R-Squared (R2),
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,Adjusted R-Squared,
Model Evaluation & Testing,Evaluation Metrics,Regression Metrics,Mean Absolute Percentage Error,
Model Evaluation & Testing,Evaluation Metrics,Clustering Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Clustering Metrics,Silhouette Score,
Model Evaluation & Testing,Evaluation Metrics,Clustering Metrics,Calinski-Harabasz Index,
Model Evaluation & Testing,Evaluation Metrics,Clustering Metrics,Davies-Bouldin Index,
Model Evaluation & Testing,Evaluation Metrics,Ranking Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Ranking Metrics,Normalized Discounted Cumulative Gain,
Model Evaluation & Testing,Evaluation Metrics,Ranking Metrics,Mean Average Precision,
Model Evaluation & Testing,Evaluation Metrics,Ranking Metrics,Mean Reciprocal Rank,
Model Evaluation & Testing,Evaluation Metrics,Statistical Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Statistical Metrics,Chi-Squared,
Model Evaluation & Testing,Evaluation Metrics,Statistical Metrics,Kolmogorov-Smirnov Test,
Model Evaluation & Testing,Evaluation Metrics,Probabilistic Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Probabilistic Metrics,Kullback-Leibler Divergence,
Model Evaluation & Testing,Evaluation Metrics,Probabilistic Metrics,Perplexity,
Model Evaluation & Testing,Evaluation Metrics,Time Series Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Time Series Metrics,Mean Absolute Scaled Error,
Model Evaluation & Testing,Evaluation Metrics,Time Series Metrics,Symmetric Mean Absolute Percentage Error (SMAPE),
Model Evaluation & Testing,Evaluation Metrics,Information Retrieval Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Information Retrieval Metrics,Precision At K,
Model Evaluation & Testing,Evaluation Metrics,Information Retrieval Metrics,Recall At K,
Model Evaluation & Testing,Evaluation Metrics,Natural Language Processing Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Natural Language Processing Metrics,BLEU Score,
Model Evaluation & Testing,Evaluation Metrics,Natural Language Processing Metrics,ROUGE Score,
Model Evaluation & Testing,Evaluation Metrics,Natural Language Processing Metrics,METEOR Score,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Bhattacharyya Distance,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Hellinger Distance,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Earth Mover'S Distance (Wasserstein),
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Jensen-Shannon Divergence,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Mahalanobis Distance,
Model Evaluation & Testing,Evaluation Metrics,Distribution And Similarity Metrics,Jaccard Index,
Model Evaluation & Testing,Evaluation Metrics,Other Specialized Metrics,,
Model Evaluation & Testing,Evaluation Metrics,Other Specialized Metrics,Gini Coefficient,
Model Evaluation & Testing,Evaluation Metrics,Other Specialized Metrics,Brier Score,
Model Evaluation & Testing,Evaluation Metrics,Count Metrics,True Positive,
Model Evaluation & Testing,Evaluation Metrics,Count Metrics,True Negative,
Model Evaluation & Testing,Evaluation Metrics,Count Metrics,False Positive,
Model Evaluation & Testing,Evaluation Metrics,Count Metrics,False Negative,
Model Evaluation & Testing,Visualisation Techniques,Dimensionality Reduction,Principal Component Analysis,
Model Evaluation & Testing,Visualisation Techniques,Dimensionality Reduction,t-distributed stochastic neighbor embedding (t-SNE),
Model Evaluation & Testing,Visualisation Techniques,Pattern Recognition,Loss Curve,
Model Evaluation & Testing,Visualisation Techniques,Pattern Recognition,Generalization Curve,
Model Evaluation & Testing,Visualisation Techniques,Pattern Recognition,Precision-Recall Curve,
Model Evaluation & Testing,Common Challenges,Co-Adaptation,,
Model Evaluation & Testing,Common Challenges,Exploding Gradient Problem,,
Model Evaluation & Testing,Common Challenges,Vanishing Gradient Problem,,
Model Evaluation & Testing,Common Challenges,Concept Drift,,
Model Evaluation & Testing,Common Challenges,Underfitting,,
Model Evaluation & Testing,Common Challenges,Overfitting,,
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Confusion Matrix,True Positive
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Confusion Matrix,False Positive
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Confusion Matrix,True Negative
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Confusion Matrix,False Negative
Model Evaluation & Testing,Evaluation Metrics,Classification Metrics,Confusion Matrix,
Model Evaluation & Testing,Common Challenges,Label Leakage,,
Model Architecture Design,Feature Normalization,,,
Model Architecture Design,Feature Normalization,Batch-Sample,,
Model Architecture Design,Feature Normalization,Batch-Sample,Batch Normalization,
Model Architecture Design,Feature Normalization,One-Sample,,
Model Architecture Design,Feature Normalization,One-Sample,Layer Normalization,
Model Architecture Design,Feature Normalization,One-Sample,Instance Normalization,
Model Architecture Design,Feature Normalization,Feature-Group-Sample,,
Model Architecture Design,Feature Normalization,Feature-Group-Sample,Group Normalization,
Model Architecture Design,Layer Configuration,Normalization Layers,Group Normalization,
Model Objective,Continuous Value Prediction,,,
Model Objective,Time Series Prediction,,,
Model Objective,Image Classification,,,
Model Objective,Text Classification,,,
Model Objective,Object Detection,,,
Model Objective,Machine Translation,,,
Model Objective,Speech Recognition,,,
Model Objective,Binary Classification,,,
Model Architecture Design,Layer Configuration,,,
Model Architecture Design,Layer Configuration,Trainable Layers,,
Model Architecture Design,Layer Configuration,Trainable Layers,Fully Connected Layer,
Model Architecture Design,Layer Configuration,Trainable Layers,Convolutional Layer,
